Source,Target,Type,Id,Label,Weight,relationship,Color
Q114443489,Q851213,Directed,358,,1,subclass_of,"#000000"
Q114880130,Q851213,Directed,359,,1,subclass_of,"#000000"
Q115890848,Q851213,Directed,360,,1,subclass_of,"#000000"
Q116314630,Q90568328,Directed,361,,1,subclass_of,"#000000"
Q117193818,Q1634085,Directed,362,,1,subclass_of,"#000000"
Q117198196,Q851213,Directed,363,,1,subclass_of,"#000000"
Q120484427,Q851213,Directed,364,,1,subclass_of,"#000000"
Q122932896,Q851213,Directed,365,,1,subclass_of,"#000000"
Q126335126,Q851213,Directed,366,,1,subclass_of,"#000000"
Q126728409,Q90568328,Directed,367,,1,subclass_of,"#000000"
Q131286868,Q1326777,Directed,368,,1,subclass_of,"#000000"
Q131529620,Q851213,Directed,369,,1,subclass_of,"#000000"
Q132324210,Q851213,Directed,370,,1,subclass_of,"#000000"
Q134380635,Q851213,Directed,371,,1,subclass_of,"#000000"
Q135437136,Q851213,Directed,372,,1,subclass_of,"#000000"
Q733804,Q890887,Directed,373,,1,subclass_of,"#000000"
Q750811,Q598593,Directed,374,,1,subclass_of,"#000000"
Q828243,Q1298934,Directed,375,,1,subclass_of,"#000000"
Q835131,Q622871,Directed,376,,1,subclass_of,"#000000"
Q1228230,Q627906,Directed,377,,1,subclass_of,"#000000"
Q1521688,Q2748817,Directed,378,,1,subclass_of,"#000000"
Q2365784,Q627906,Directed,379,,1,subclass_of,"#000000"
Q2385862,Q622871,Directed,380,,1,subclass_of,"#000000"
Q2452152,Q622871,Directed,381,,1,subclass_of,"#000000"
Q2497323,Q622871,Directed,382,,1,subclass_of,"#000000"
Q3474944,Q1298934,Directed,383,,1,subclass_of,"#000000"
Q5655695,Q3032212,Directed,384,,1,subclass_of,"#000000"
Q5655695,Q30917612,Directed,385,,1,subclass_of,"#000000"
Q6081528,Q1585015,Directed,386,,1,subclass_of,"#000000"
Q9348934,Q890887,Directed,387,,1,subclass_of,"#000000"
Q9356246,Q622871,Directed,388,,1,subclass_of,"#000000"
Q10286190,Q622871,Directed,389,,1,subclass_of,"#000000"
Q11319210,Q1298934,Directed,390,,1,subclass_of,"#000000"
Q11339397,Q1298934,Directed,391,,1,subclass_of,"#000000"
Q11691380,Q627906,Directed,392,,1,subclass_of,"#000000"
Q11831728,Q1585015,Directed,393,,1,subclass_of,"#000000"
Q11877639,Q627906,Directed,394,,1,subclass_of,"#000000"
Q11882045,Q2260696,Directed,395,,1,subclass_of,"#000000"
Q20047305,Q627906,Directed,396,,1,subclass_of,"#000000"
Q22964975,Q118324067,Directed,397,,1,subclass_of,"#000000"
Q24885387,Q2748817,Directed,398,,1,subclass_of,"#000000"
Q24941533,Q1298934,Directed,399,,1,subclass_of,"#000000"
Q25389065,Q622871,Directed,400,,1,subclass_of,"#000000"
Q97277483,Q928825,Directed,401,,1,subclass_of,"#000000"
Q106423092,Q2271846,Directed,402,,1,subclass_of,"#000000"
Q106493832,Q20021059,Directed,403,,1,subclass_of,"#000000"
Q106493832,Q85748774,Directed,404,,1,subclass_of,"#000000"
Q106522190,Q1585015,Directed,405,,1,subclass_of,"#000000"
Q106634926,Q20021059,Directed,406,,1,subclass_of,"#000000"
Q108555812,Q874038,Directed,407,,1,subclass_of,"#000000"
Q108555812,Q18358879,Directed,408,,1,subclass_of,"#000000"
Q109713845,Q622871,Directed,409,,1,subclass_of,"#000000"
Q109713928,Q622871,Directed,410,,1,subclass_of,"#000000"
Q109713947,Q622871,Directed,411,,1,subclass_of,"#000000"
Q109714050,Q622871,Directed,412,,1,subclass_of,"#000000"
Q109714096,Q622871,Directed,413,,1,subclass_of,"#000000"
Q110526770,Q915152,Directed,414,,1,subclass_of,"#000000"
Q110526823,Q627906,Directed,415,,1,subclass_of,"#000000"
Q110526823,Q915152,Directed,416,,1,subclass_of,"#000000"
Q111678759,Q202925,Directed,417,,1,subclass_of,"#000000"
Q111971801,Q107090501,Directed,418,,1,subclass_of,"#000000"
Q112829330,Q598593,Directed,419,,1,subclass_of,"#000000"
Q113493820,Q627906,Directed,420,,1,subclass_of,"#000000"
Q114809047,Q890887,Directed,421,,1,subclass_of,"#000000"
Q114878571,Q27345019,Directed,422,,1,subclass_of,"#000000"
Q116745991,Q85741139,Directed,423,,1,subclass_of,"#000000"
Q122474184,Q85748774,Directed,424,,1,subclass_of,"#000000"
Q122474257,Q598593,Directed,425,,1,subclass_of,"#000000"
Q123413364,Q388100,Directed,426,,1,subclass_of,"#000000"
Q124151378,Q1339027,Directed,427,,1,subclass_of,"#000000"
Q127606323,Q29973057,Directed,428,,1,subclass_of,"#000000"
Q127606347,Q29973057,Directed,429,,1,subclass_of,"#000000"
Q127606355,Q29973057,Directed,430,,1,subclass_of,"#000000"
